name,street_address,city,province,postcode,latitude,longitude,cuisine,phone,website,email,opening_hours,wheelchair,smoking,internet_access,operator,delivery,takeaway
"Elisa Cart Korean Tapas","","","","","43.7752924","-79.4693606","","","","","","","","","","",""
"Dolsoe Korean","","","","","43.7790528","-79.4749313","korean","","","","","","","","","",""
"Pho Metro","","","","","43.7873407","-79.4717735","vietnamese","","","","","","","","","",""
"East Side Mario's","","","","","43.7855404","-79.4759976","italian","","","","","","","","","",""
"Montana's","","","","","43.7866226","-79.4714585","barbecue","","https://www.montanas.ca/","","","","","","Cara","",""
"Han Oak Korean/Japanese Restaurant","","","","","43.7985439","-79.4704438","japanese;korean","","","","","","","","","",""
"Centre Street Deli","","","","","43.8092069","-79.4631271","","+1-905-731-8037","https://www.centrestreetdeli.com/","","","","","","","",""
"Revitasize","","","","","43.8063146","-79.4734504","juice","","","","","","","","","",""
"Curry Curry","","","","","43.8064114","-79.4734749","indian","","","","","","","","","",""
"OM India Food Centre","","","","","43.8065873","-79.4736289","indian","","","","","","","","","",""
"Deja Vu Mediterranean Cuisine","","","","","43.8065984","-79.4737245","middle_eastern","","","","","","","","","",""
"Story Sushi","","","","","43.8090906","-79.4612775","sushi","","","","","","","","","",""
"Ann's Congee","","","","","43.8090549","-79.4616597","chinese","","","","","","","","","",""
"1118 Bistro & Grill","","","","","43.8087808","-79.4621099","","","","","","","","","","",""
"Melody Restaurant","","","","","43.8088571","-79.4621221","","","","","","","","","","",""
"Ani Ristorante","","","","","43.7985116","-79.4705834","italian","","","","","","","","","",""
"Deedar Restaurant","","","","","43.7982801","-79.4697041","","","","","","","","","","",""
"La Briut Cafe","","","","","43.8087858","-79.4620963","","","","","","","","","","",""
"Tea Va See","","","","","43.806678","-79.4714409","","","","","","","","","","",""
"Saigon Grill","1200 Highway 7","Thornhill","Ontario","L4J 0E1","43.8234618","-79.4732329","vietnamese","","","","","","","","","",""
"The Corned Beef House","8707 Dufferin Street","Thornhill","Ontario","L4J 0A2","43.8284351","-79.4780696","sandwich","+1 9055971994","https://www.cornedbeefhouse.com/","","","","","","","",""
"Sofram Mediterrean Cuisine","8707 Dufferin Street","Thornhill","Ontario","L4J 0A2","43.8284234","-79.4781834","middle_eastern","+1 9059079999","http://www.sofram.ca/","","","","","","","",""
"Ichiban Sushi House","8707 Dufferin Street","Thornhill","Ontario","L4J 0A2","43.8283853","-79.4784076","sushi","","https://ichibansushi.com/","","","","","","","",""
"Duff's Famous Wings","9360 Bathurst Street","Maple","Ontario","L6A 4N9","43.8496616","-79.4603203","wings","+1 9058325005","https://www.duffsfamouswings.ca/","","","","","","","",""
"Senbazuru Sushi Bar","1076 Rutherford Road","Maple","","","43.8459487","-79.4699465","sushi","+1-289-304-8338","","","Mo-Th 11:00-21:30, Fr-Sa 11:00-23:00, Su 11:00-22:00","","","","","",""
"Seven Seas Seafood & Grill","","","","","43.8461012","-79.4700269","seafood","","","","","","","","","",""
"Aroowha Sushi","1011 Rutherford Road","Thornhill","Ontario","L4J 0E2","43.8448427","-79.4704778","sushi","+19058860309","http://www.aroowha.com/","","","","","","","",""
"ParsGrill","","","","","43.8642289","-79.46965","","","","","","","","","","",""
"Sorrento Ristorante","","","","","43.8638038","-79.4684572","italian","","","","","","","","","",""
"Grill Gate","832 Sheppard Avenue West","North York","","M3H 2T1","43.7531478","-79.4515814","middle_eastern","","","","","","","","","",""
"Le Montmatre","","","","","43.7512488","-79.4574737","french","","","","","","","","","",""
"Times Square Diner","","","","","43.7510393","-79.4555684","","","","","","","","","","",""
"Alan Restaurant","","","","","43.7527577","-79.4528009","","","","","","","","","","",""
"Crave Restaurant","","","","","43.7531706","-79.4508314","","","","","","","","","","",""
"Suhan Dumplings","","","","","43.755034","-79.4422588","korean","","","","","","","","","",""
"Wakame Sushi","","","","","43.7554986","-79.4408985","sushi","","","","","","","","","",""
"Belle Bar & Restaurant","","","","","43.774366","-79.4424082","","","","","","","","","","",""
"Cynthia's Chinese Restaurant","","","","","43.8092227","-79.4503989","chinese","","","","","","","","","",""
"Me Va Me Restaurant","","","","","43.792909","-79.4464877","","","","","","","","","","",""
"Ba-Li Laffa","","","","","43.7951741","-79.4458116","kebab","","","","","","","","","",""
"Howie T's Burger Bar","","","","","43.7931108","-79.4465062","","","","","","","","","","",""
"Kiva's","1027 Steeles Avenue West","North York","","","43.7912957","-79.4477246","dessert;bagel","+1-416-663-9933","https://www.kivasbagels.ca/","","","","","","","","yes"
"MyeongdongGyoza Kalguksu","","","","","43.7949831","-79.4457978","korean","","","","","","","","","",""
"Shalom India","7700 Bathurst Street","Thornhill","ON","L4J 7Y3","43.8099852","-79.4521523","indian","","","","","","","","","",""
"Ariake Sushi","","","","","43.8099734","-79.4523223","sushi","","","","","","","","","",""
"Randevu","","","","","43.8099132","-79.4504989","russian","","","","","","","","","",""
"Bombay Touch","","","","","43.8096463","-79.4503973","indian","","","","","","","","","",""
"Sushi Wa","","","","","43.7930119","-79.4465032","sushi","","","","","","","","","",""
"Koz Bingol","","","","","43.7922517","-79.4450392","turkish","","","","","","","","","",""
"Pho Viet Express","","","","","43.7939288","-79.4455272","vietnamese","","","","","","","","","",""
"Congee Wong","","","","","43.8082309","-79.4525543","chinese;cantonese","","","","","","","","","",""
"Copper Branch","","","","","43.8103827","-79.4541925","","","","","","","","","","",""
"Mezza Notte Trattoria","","","","","43.8105844","-79.4534697","italian","","","","","","","","","",""
"Meron Restaurant","","","","","43.81061","-79.453596","middle_eastern","","","","","","","","","",""
"Swiss Chalet","","","","","43.8100653","-79.4513661","chicken","","","","","","","","","",""
"What a Bagel","8010 Bathurst Street","Thornhill","Ontario","","43.8167076","-79.452525","breakfast;lunch","+1-905-707-0044","https://www.whatabagel.com/stores/8010-bathurst-st/","","We-Su 08:00-15:00; Mo-Tu off","","","","","",""
"Maple Sushi","30 Disera Drive","Thornhill","","L4J 0A7","43.8118582","-79.4542468","sushi","","","","","","","","","",""
"The Boneyard Grill","","","","","43.8106365","-79.4541822","chicken","","","","","","","","","",""
"Halibut House","","","","","43.810707","-79.4535993","fish_and_chips","","","","","","","","","",""
"Miyako Sushi","","","","","43.848627","-79.4577827","sushi","","","","","","","","","",""
"Bathurst Street Deli","","","","","43.8489117","-79.4583017","","","","","","","","","","",""
"Me-Va-Me Restaurant","9302 Bathurst Street","Maple","Ontario","","43.8477891","-79.4598283","","","","","Mo-Su 11:30-23:00","","","","","",""
"AiTalker","9200 Bathurst Street","Thornhill","Ontario","L4J 8W1","43.8470743","-79.4597434","taiwanese;fried_chicken","+19055975883","https://www.aitaikercanada.com/","","","","","","","",""
"Stonefire Bar & Grill","8700 Bathurst Street","Thornhill","Ontario","L4J 9J8","43.8345407","-79.4560681","","","http://www.stonefirebarandgrill.com/","","","","","","","",""
"Freshii","9360 Bathurst Street","Maple","Ontario","L6A 4N9","43.8496784","-79.4597002","salad","","","","","","","","","",""
"Viva Pizza + Pasta","","","","","43.8483619","-79.4576923","pizza","","","","","","","","","",""
"Al's Pizzeria and Grill","","","","","43.8660652","-79.4584915","pizza","","","","","","","","","",""
"Pizza Hut","10 Headdon Gate","Richmond Hill","Ontario","L4C 8A2","43.8672443","-79.4586068","pizza","","","","","","","","","",""
"Stragonoff","10 Headdon Gate","Richmond Hill","Ontario","L4C 8A2","43.867057","-79.4588958","","","https://strogano.com/","","","","","","","",""
"Dynasty","10 Headdon Gate","Richmond Hill","Ontario","L4C 8A2","43.8672506","-79.4585377","chinese","","","","","","","","","",""
"China Court","","","","","43.7559029","-79.4374394","chinese","","","","Tu,Su 03:00-22:00; Mo,We-Sa 03:00-23:00","","","","","",""
"Summer House","","","","","43.7558035","-79.4379085","filipino","","","","","","","","","",""
"Ginza Sushi","","","","","43.806209","-79.423618","sushi","","","","","","","","","",""
"Cho Sun Ok","","","","","43.806778","-79.421747","","","","","","","","","","",""
"Jiwon Green Korean Restaurant","","","","","43.807251","-79.422968","korean","","","","","","","","","",""
"Legend Chinese Restaurant","","","","","43.804785","-79.420483","chinese","","","","","","","","","",""
"Paramount Fine Foods","","","","","43.805766","-79.42105","","","","","","","","","","",""
"Lobster Royale","","","","","43.805853","-79.421082","","","","","","","","","","",""
"Indian Kitchen","","","","","43.806384","-79.4231182","indian","","","","","","","","","",""
"Sunny Dragon","","","","","43.7951738","-79.434676","korean","","","","","","","","","",""
"Momo Yama","","","","","43.797403","-79.4253579","","","","","","","","","","",""
"Congee Queen","6464 Yonge Street","North York","","","43.7956958","-79.4216988","chinese","+1-416-733-8388","https://www.congeequeen.com/","","","","","","","",""
"The Indian Kitchen","","","","","43.8062135","-79.4212096","indian","","","","","","","","","",""
"Pickle Barrel","6464 Yonge Street","","","","43.7960227","-79.4212621","","","","","","","","","","",""
"Chicken Mymy","","","","","43.8069664","-79.4218235","","","","","","","","","","",""
"Xe Lau","180 Steeles Avenue West","Vaughan","Ontario","L4J 2L1","43.7980056","-79.4263537","vietnamese","","","","","","","","","",""
"General Tso's Kitchen","","","","","43.7993357","-79.4201157","chinese","","","","","","","","","",""
"Sinjeon Foodsys","","","","","43.7994891","-79.4201606","","","","","","","","","","",""
"Xin Chao Vietnamese Cuisine","","","","","43.7995987","-79.4201928","vietnamese","","","","","","","","","",""
"Jung Soo Ne Bonga","","","","","43.7960292","-79.4340921","korean","","","","","","","","","",""
"Tao’s Chinese Kitchen","","","","","43.7957968","-79.4339316","chinese","","","","","","","","","",""
"The Indian Cuisine","","","","","43.7952947","-79.4347263","indian","","","","","","","","","",""
"Sababa Restaurant","","","","","43.7958917","-79.4339703","","","","","","","","","","",""
"Seoul House","180 Steeles Avenue West","Thornhill","Ontario","L4J 2L1","43.7974102","-79.4263082","korean","","","","","","","","","",""
"Red Lobster","7291 Yonge Street","Markham","","","43.8052725","-79.4212215","seafood","","","","","","","","","",""
"TERRA Restaurant & Catering","","","","","43.8279252","-79.4266125","","","","","","","","","","",""
"Symposium Cafe Restaurant Thornhill","8187 Yonge Street","Thornhill","","L3T 2C6","43.8272249","-79.4263398","burger;regional;coffee_shop;sandwich;chicken;seafood;international;american;ice_cream;fish_and_chips;fish;dessert;salad;pasta;cake","+1 905-881-2233","https://symposiumcafe.com/locations/thornhill-restaurants","symposium.thornhill@symposiumcafe.com","Mo-Su 08:00-24:00","yes","no","yes","","yes","yes"
"Philoxenia","8199 Yonge Street","","","","43.8277798","-79.4266248","greek","","","","","","","","","",""
"Steve's Restaurant","","","","","43.8245657","-79.4269391","","","","","","","","","","",""
"Panto's Italian Cuisine","","","","","43.823588","-79.424792","italian","+1-905-731-0352","","","","","","","","",""
"Royal Orchard Thai Cuisine","","","","","43.82355","-79.42499","thai","","","","","","","","","",""
"Eggsmart","","","","","43.823796","-79.425763","breakfast","","","","","","","","","",""
"Chinese Gourmet","","","","","43.825486","-79.425368","","","","","","","","","","",""
"Akbar Joojeh","","","","","43.825504","-79.425296","","","","","","","","","","",""
"Yorokobi Japanese Restaurant","601 Clark Avenue West","","","L4J 4E5","43.816809","-79.424253","japanese","","","","","","","","","",""
"Kish Restaurant","","","","","43.8262207","-79.4272779","","","","","","","","","","",""
"Minoo","","","","","43.8237088","-79.4257595","","","","","","","","","","",""
"The Octagon Steakhouse","","","","","43.8111775","-79.4224925","steak","","","","","","","","","",""
"Il Fornello","","","","","43.8433521","-79.4301634","","","","","","","","","","",""
"Abruzzo Pizza","9010 Yonge Street","","","","43.8471409","-79.4320697","pizza","+1-905-881-8222","","","","","","","","",""
"Woody Wood Burger","8950 Yonge Street","","","","43.8460553","-79.4318416","","+1 9052241432","","","","","","","","",""
"Pizza Hut","","","","","43.8484551","-79.4322801","pizza","+1 9052379878","","","","","","","","",""
"Roses Kebab Land","","","","","43.8494019","-79.4324543","","+1 9055973990","","","","","","","","",""
"Aashland Persian Cuisine","","","","","43.8496348","-79.4325712","","+1 4378798700","","","08:00-22:00","","","","","",""
"Milestones","","","","","43.8419867","-79.4283073","bar_and_grill","","","","","","","","","",""
"Montana's","8735 Yonge Street","Richmond Hill","ON","","43.8408233","-79.4282445","barbecue","","","","","","","","","",""
"Kelsey's","8715 Yonge Street","","","","43.8402601","-79.4292644","american","","","","Mo 10:00-22:00, Tu-Th,Su 10:00-23:00, Fr,Sa 10:00-24:00","yes","","","","",""
"Mr. Congee","","","","","43.8642224","-79.4363624","chinese","","","","","","","","","",""
"Hong Dae Korean Restaurant","9184 Yonge Street","","","","43.8509763","-79.433119","korean","","","","","","","","","",""
"Kim Po Vietnamese Cuisine","","","","","43.861446","-79.432796","","","","","","","","","","",""
"Kazan Table BBQ","","","","","43.860764","-79.434118","","","","","","","","","","",""
"Nando's","","","","","43.8612409","-79.4343627","chicken;portuguese","","","","","","","","","",""
"Shishli Grill & Restaurant","9555 Yonge Street","Richmond Hill","Ontario","","43.8599646","-79.4338329","","","","","","","","","","",""
"Persia Restaurant","","","","","43.8558329","-79.4306718","persian","","","","","","","","","",""
"Choice of the Orient Chinese Restaurant 潮茶檔","9555 Yonge Street","Richmond Hill","Ontario","","43.8589788","-79.4337668","chinese","","","","","","","","","",""
"Sansotei Ramen","9555 Yonge Street","Richmond Hill","Ontario","","43.8595727","-79.4333044","ramen","","","","","","","","","",""
"Pho Tai Bac","9555 Yonge Street","Richmond Hill","Ontario","","43.8594414","-79.4333184","vietnamese","","","","","","","","","",""
"Chillax & Co. Bistro + Brunch","","","","","43.8611856","-79.4355719","","","","","","","","","","",""
"Tomo Sushi","","","","","43.8608169","-79.4342515","sushi","","","","","","","","","",""
"Super Arzon","","","","","43.8644805","-79.4350569","","","","","","","","","","",""
"Roses Senso Café & Bites","9218 Yonge Street","","","","43.852572","-79.4335087","","","","","","","","","","",""
"Ramona’s Kitchen","","","","","43.8532141","-79.4361278","","","","","","","","","","",""
"Kaiyo Sushi","","","","","43.8556496","-79.4303118","sushi","905-737-7888","","","","","","","","",""
"Dorchin Kebab","","","","","43.8742684","-79.437663","","","","","","","","","","",""
"Angry Wings","","","","","43.874412","-79.4243528","chicken;burger","","","","","","","","","",""
"Michi Sushi","","","","","43.7650997","-79.4003626","sushi","","","","","","","","","",""
"Paisano's","","","","","43.7646159","-79.4001598","","","","","","","","","","",""
"Trio 3","","","","","43.7688128","-79.414216","","","","","","yes","","","Novotel","",""
"Shoeless Joe's","","","","","43.7616449","-79.4092178","grill","","","","","","","","","",""
"Armando's Authentic Italian Cuisine","","","","","43.7628999","-79.4116255","italian","","","","","","","","","",""
"Moxie's","","","","","43.764853","-79.412275","bar_and_grill","","","","","","","","","",""
"Cafe Palma","","","","","43.7685382","-79.4136639","","","","","","","","","","",""
"Sushi One","","","","","43.7644121","-79.4120288","sushi","","","","","","","","","",""
"Tandoori House Indian Cuisine","","","","","43.7628093","-79.4115923","indian","","","","","","","","","",""
"Lee Namjang Korean Restaurant","4846","","","","43.7625054","-79.4114628","korean","(416) 418-6806","https://www.daldongnaebbq.com/","","Mo-Su 12:00-02:00","","","","","",""
"Kenzo","","","","","43.7627418","-79.4115339","japanese","+1-647-345-1871","http://www.kenzoramen.ca/","","Mo-Su 11:00-22:00","","","","","",""
"EAT BKK Thai Kitchen","4704 Yonge Street","Toronto","","M2N 5M4","43.7592544","-79.4107241","thai","","","","","","","","","no","yes"
"Kinka Izakaya","4775 Yonge Street","North York","","M2N 5M5","43.760435","-79.4097497","japanese","","","","","","","","","","yes"
"Spicy & Delicious","4664 Yonge Street","North York","","M2N 5M1","43.7579221","-79.4103887","chinese","+1-416-590-1315","https://shuxiang4664yonge.com","","Mo-Su 12:00-22:00","","","","","yes","yes"
"Pho OK","4664 Yonge Street","North York","Ontario","M2N 5M1","43.7580043","-79.4104436","vietnamese","+1 416 222 2668","https://phook.ca/","Pho.ok.yonge@gmail.com","Mo-Sa 11:00-22:00","","outside","","","yes","yes"
"4AM Bar & Lounge","4664 Yonge Street","North York","","M2N 5M1","43.7578824","-79.4104355","lounge;korean;bar","+1-416-901-4084","","","","","outside","","","",""
"Morals Village","5095 Yonge Street","Toronto","","M2N 6Z4","43.7691164","-79.4125078","hotpot;szechuan","","","","","","","","","",""
"Golden Rice Noodle","4750 Yonge Street","Toronto","","","43.7601989","-79.4109406","noodle;chinese","","","","","","","","","",""
"Blaze Pizza","","","","","43.7623328","-79.4107904","pizza","","","","Su-Th 11:00-22:00; Fr,Sa 11:00-23:00","","no","","","",""
"Flock Rotisserie + Greens","","","","","43.7628646","-79.4108453","chicken","","","","","","","","","",""
"Petit Potato","","","","","43.7682517","-79.4123312","japanese","","","","","","","","","",""
"Freshii","","","","","43.7630754","-79.4104625","salad","","","","","","","","","",""
"Cafe Landwer","5000 Yonge Street","North York","ON","M2N 7E9","43.7662778","-79.4124604","","+1 4162265005","https://www.landwer.ca/","info@landweryonge.ca","Mo-Th,Su 08:00-22:00; Fr-Sa 08:00-23:00","","","wlan","","",""
"The Fry - Sheppard","4864 Yonge Street","Toronto","Ontario","M2N 5N2","43.7629563","-79.4115452","korean;fried_chicken","+1 416-546-6159","https://thefry.ca/","Lee@thefry.ca","Su-Th 15:00-02:00; Fr-Sa 15:00-01:30","","","","","",""
